recordId,recordType,servedIMSI,callingNumber,calledNumber,startTime,endTime,duration,location,callStatus,dataVolumeUplinkKB,dataVolumeDownlinkKB
beda7463-703e-429f-9829-0a648d361e70,DATA,+55 11 8470-3086,,,2025-07-31 00:02:10,2025-07-31 01:58:10,6960,BS_3,N/A,169396,727144
e2ffafae-8fdc-4f1c-9440-9b3bd3718635,VOICE,41 6310-7693,41 6310-7693,+55 51 1581 5696,2025-07-31 00:02:25,2025-07-31 00:29:09,1604,BS_5,ANSWERED,0,0
a18ac748-13e2-4bf6-a686-1a27141d742c,SMS,(061) 4578-8780,(061) 4578-8780,+55 41 6041 6421,2025-07-31 00:06:09,2025-07-31 00:06:09,0,BS_3,N/A,0,0
0090beb2-083b-4bbc-85d4-3b0d4fc38b6c,SMS,+55 84 8801-2455,+55 84 8801-2455,71 1112 8932,2025-07-31 00:34:10,2025-07-31 00:34:10,0,BS_1,N/A,0,0
cd492ef0-cfad-4bf1-9fbc-13cf15d7180b,DATA,(081) 6364-0111,,,2025-07-31 00:38:02,2025-07-31 00:50:42,760,BS_1,N/A,21122,75138
d2249323-e496-4fff-ab6d-edf60d5ac4c5,VOICE,(081) 1142 9446,(081) 1142 9446,81 3896 8961,2025-07-31 00:38:40,2025-07-31 00:40:54,134,BS_1,ANSWERED,0,0
f6b15f08-f6cf-419c-b35a-b0bf4fe62dfd,SMS,21 3084-2461,21 3084-2461,21 4059-5253,2025-07-31 00:42:22,2025-07-31 00:42:22,0,BS_3,N/A,0,0
018f8145-f7db-41ab-a5be-758125a5c56e,DATA,+55 (051) 5053-4253,,,2025-07-31 00:56:12,2025-07-31 01:11:15,903,BS_5,N/A,5865,27816
3cfe7aec-1891-4408-ba5e-f1afe5ae4b3c,DATA,+55 (051) 7964-9248,,,2025-07-31 00:57:18,2025-07-31 02:44:59,6461,BS_1,N/A,19919,112508
0dc24f6d-e0aa-4210-906c-3688390fdea3,DATA,(011) 4030-1869,,,2025-07-31 00:58:11,2025-07-31 01:17:43,1172,BS_2,N/A,5266,42933
b8818872-62d2-4a4b-8fde-10f48ac107df,DATA,+55 81 6154 3814,,,2025-07-31 01:01:45,2025-07-31 02:35:17,5612,BS_3,N/A,68631,401719
73d91fed-b6d4-4fdd-bed1-2b04ea4328bd,DATA,41 7527-2793,,,2025-07-31 01:12:29,2025-07-31 02:25:51,4402,BS_5,N/A,12920,116430
8933bd89-1938-48fe-bd2a-59aaf0e15455,DATA,(021) 0513-1585,,,2025-07-31 01:16:07,2025-07-31 03:05:33,6566,BS_5,N/A,6556,53054
f8f096c9-045a-440b-b6c8-fb83bfb305d3,DATA,+55 84 8801-2455,,,2025-07-31 01:18:28,2025-07-31 03:05:11,6403,BS_1,N/A,92014,829081
020d35e2-73dc-4b1f-aee4-c5f100d8dd67,DATA,+55 11 8470-3086,,,2025-07-31 01:31:06,2025-07-31 03:18:47,6461,BS_3,N/A,117452,418817
8cf8245b-6064-4e1d-b5dc-c4cec5b539c0,DATA,(021) 0513-1585,,,2025-07-31 01:43:29,2025-07-31 03:18:25,5696,BS_3,N/A,64150,344432
0ae99946-d6c1-49a5-a08e-ad2744519346,DATA,41 7527-2793,,,2025-07-31 01:51:58,2025-07-31 02:23:59,1921,BS_4,N/A,48172,304219
c34d5a8b-f5d3-47f9-a7f7-da1bbf804208,SMS,+55 31 5478-7423,+55 31 5478-7423,(071) 7018 8256,2025-07-31 02:16:56,2025-07-31 02:16:56,0,BS_1,N/A,0,0
